bus_id,time,ridership_count
4857,865,7
20285,865,1
6556,865,1
13216,865,12
6553,865,3
19050,865,0
19051,865,16
4872,865,1
19412,865,4
18014,865,0
20283,865,9
18018,865,0
6557,865,2
17626,865,0
4855,865,10
7151,865,10
15187,865,5
15185,865,9
18020,865,5
13209,865,1
18021,865,25
6555,865,1
4867,865,0
7149,865,9
13211,865,5
20284,865,7
17625,865,0
13208,865,10
18623,865,16
9418,865,1
4856,865,10
4885,865,7
20285,870,0
20284,870,9
17626,870,2
18018,870,0
20281,870,16
19050,870,0
7151,870,13
4885,870,4
18021,870,25
4864,870,1
19051,870,18
13211,870,0
15189,870,0
13208,870,8
4856,870,10
4867,870,10
13215,870,10
13216,870,4
4851,870,0
6553,870,4
17625,870,1
9418,870,2
15185,870,2
18623,870,6
9421,870,0
19412,870,1
13209,870,4
4857,870,4
7149,870,4
18020,870,3
6555,870,1
15188,870,15
13213,870,0
4855,870,5
20283,870,4
6556,870,1
18014,870,0
18620,870,0
15187,870,7
4872,870,1
6557,870,2
18018,875,0
13215,875,12
4855,875,5
17626,875,1
9421,875,0
15188,875,12
17625,875,2
7149,875,5
4857,875,4
19050,875,0
13213,875,1
19051,875,7
13211,875,0
4856,875,0
20283,875,6
15189,875,0
13209,875,7
4872,875,1
18020,875,8
18014,875,0
6557,875,1
6553,875,5
4851,875,2
6556,875,1
20284,875,5
6555,875,2
18623,875,4
7151,875,8
18620,875,0
18021,875,22
4864,875,1
4885,875,3
20281,875,17
9418,875,3
13208,875,6
19412,875,1
15187,875,7
15185,875,3
20285,875,1
4867,875,13
13216,875,4
17625,880,5
18020,880,8
6555,880,2
9418,880,0
4851,880,0
7149,880,4
20281,880,18
4855,880,5
6557,880,0
20284,880,6
18021,880,27
13211,880,3
7151,880,0
4867,880,16
13208,880,5
4885,880,3
4856,880,0
20283,880,6
15187,880,6
17626,880,0
13209,880,6
9421,880,0
20285,880,3
19050,880,0
18623,880,5
13216,880,4
6556,880,1
15189,880,0
13213,880,3
18014,880,0
19051,880,9
18620,880,0
4864,880,3
6553,880,8
4857,880,0
13215,880,7
15185,880,3
19412,880,0
4872,880,4
18018,880,0
15188,880,8
18623,885,7
4864,885,0
13208,885,6
18018,885,0
4867,885,16
20283,885,4
7151,885,2
13209,885,4
19050,885,0
20284,885,4
20281,885,21
17626,885,0
9421,885,2
19394,885,2
4857,885,1
6553,885,8
17625,885,4
6555,885,2
4851,885,3
20285,885,1
6556,885,1
19412,885,0
15188,885,9
19051,885,13
9418,885,0
13213,885,3
18020,885,3
6557,885,0
4872,885,4
15185,885,1
18021,885,27
15187,885,6
7149,885,4
4855,885,4
18620,885,4
18014,885,1
13211,885,6
13215,885,0
4856,885,0
4885,885,0
13216,885,2
15189,885,0
4856,890,0
6557,890,1
13209,890,1
6553,890,9
18018,890,0
4857,890,2
4872,890,7
17625,890,1
20281,890,21
15189,890,0
20284,890,5
18020,890,3
9418,890,1
6555,890,2
4885,890,3
19051,890,18
19050,890,0
4851,890,2
13213,890,1
15188,890,6
6556,890,0
18623,890,4
18021,890,25
18620,890,4
13216,890,4
4855,890,4
19394,890,0
19412,890,0
18014,890,1
7149,890,6
15185,890,3
7151,890,1
4864,890,1
15187,890,9
4867,890,15
13211,890,3
20285,890,1
13215,890,2
20283,890,7
9421,890,9
13208,890,4
17626,890,0
4851,895,0
13213,895,1
18014,895,1
13215,895,1
6556,895,0
18620,895,0
9418,895,5
20281,895,19
20285,895,3
19412,895,0
15185,895,3
13209,895,1
19394,895,0
4864,895,1
13216,895,3
4856,895,3
15189,895,1
7151,895,1
4855,895,5
7149,895,6
13211,895,6
18021,895,26
18623,895,8
20284,895,1
4867,895,13
20283,895,7
15188,895,6
6557,895,1
17626,895,0
13208,895,4
18018,895,0
4857,895,10
9421,895,8
4872,895,8
18020,895,4
19051,895,16
19050,895,2
6555,895,2
17625,895,3
4885,895,3
6553,895,8
15187,895,9
4867,900,15
4885,900,5
13216,900,3
15187,900,9
4851,900,6
7151,900,0
18620,900,0
20284,900,3
6557,900,1
19394,900,1
13209,900,0
6553,900,8
4872,900,8
9418,900,6
19412,900,6
6555,900,1
18020,900,2
13208,900,4
18021,900,25
20285,900,1
19051,900,14
15188,900,2
13215,900,3
13211,900,7
19050,900,0
7149,900,3
13213,900,2
18623,900,5
6556,900,0
15185,900,1
4855,900,5
15189,900,1
17626,900,1
18014,900,1
4864,900,1
4857,900,13
20283,900,7
4856,900,3
9421,900,3
17625,900,0
18018,900,0
20281,900,19
4872,905,3
6553,905,15
4857,905,9
19394,905,2
19412,905,4
18623,905,6
9421,905,1
15189,905,3
20284,905,6
18021,905,25
13211,905,1
7151,905,2
7876,905,0
13208,905,4
17626,905,3
15187,905,9
4885,905,6
4855,905,7
4867,905,15
20283,905,4
6557,905,2
17625,905,3
15188,905,4
7149,905,4
18018,905,0
4856,905,4
19051,905,13
13215,905,4
6556,905,0
15185,905,4
13213,905,4
18620,905,0
9418,905,7
18014,905,0
20281,905,19
4864,905,3
13209,905,0
13216,905,3
19050,905,1
6555,905,1
18020,905,4
4851,905,12
20285,905,1
20283,910,4
7876,910,2
13208,910,6
7151,910,8
17625,910,4
20285,910,3
18620,910,0
15187,910,8
4885,910,11
6557,910,1
15189,910,1
4856,910,4
13209,910,2
13216,910,5
4864,910,2
4867,910,18
18014,910,1
4855,910,10
19051,910,12
18623,910,3
6555,910,1
19412,910,2
4857,910,4
19050,910,0
18020,910,4
4851,910,7
18018,910,0
6553,910,8
9421,910,12
19394,910,1
17626,910,5
20281,910,22
7149,910,6
18021,910,27
15188,910,0
15185,910,5
9418,910,0
20284,910,3
13211,910,1
13213,910,1
13215,910,7
6556,910,0
4872,910,4
9421,915,21
19394,915,1
15185,915,8
4872,915,4
18623,915,0
7151,915,8
4867,915,12
15189,915,1
13216,915,5
9418,915,4
19412,915,2
18021,915,28
15187,915,8
4885,915,6
18020,915,4
18620,915,1
18014,915,3
13213,915,9
13215,915,7
7149,915,5
4856,915,4
20283,915,6
4857,915,8
20281,915,23
4864,915,2
13209,915,2
6553,915,8
7876,915,2
13208,915,6
15188,915,0
19051,915,13
6557,915,0
6555,915,1
19050,915,1
4851,915,9
17625,915,6
20285,915,2
6556,915,0
17626,915,6
18018,915,0
4855,915,10
13211,915,6
20284,915,3
4857,920,11
4856,920,7
20283,920,6
6556,920,1
7149,920,6
20285,920,4
13211,920,6
9421,920,18
6555,920,1
4864,920,2
